Category: All categories

Month,Game of Thrones: (United States)
2011-04,9
2011-05,11
2011-06,16
2011-07,8
2011-08,6
2011-09,6
2011-10,4
2011-11,4
2011-12,5
2012-01,5
2012-02,5
2012-03,10
2012-04,22
2012-05,22
2012-06,19
2012-07,11
2012-08,8
2012-09,7
2012-10,5
2012-11,5
2012-12,7
2013-01,8
2013-02,9
2013-03,18
2013-04,29
2013-05,26
2013-06,38
2013-07,14
2013-08,10
2013-09,9
2013-10,8
2013-11,8
2013-12,11
2014-01,14
2014-02,14
2014-03,17
2014-04,51
2014-05,35
2014-06,45
2014-07,16
2014-08,12
2014-09,9
2014-10,8
2014-11,8
2014-12,11
2015-01,12
2015-02,12
2015-03,14
2015-04,34
2015-05,29
2015-06,42
2015-07,14
2015-08,10
2015-09,10
2015-10,8
2015-11,8
2015-12,11
2016-01,10
2016-02,9
2016-03,12
2016-04,34
2016-05,47
2016-06,54
2016-07,22
2016-08,11
2016-09,9
2016-10,8
2016-11,8
2016-12,11
2017-01,11
2017-02,10
2017-03,10
2017-04,10
2017-05,11
2017-06,15
2017-07,61
2017-08,84
2017-09,22
2017-10,11
2017-11,8
2017-12,10
2018-01,9
2018-02,7
2018-03,7
2018-04,7
2018-05,7
2018-06,8
2018-07,9
2018-08,9
2018-09,8
2018-10,7
2018-11,9
2018-12,12
2019-01,16
2019-02,15
2019-03,24
2019-04,100
